congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,House,80,2019-02-13,1,81,251,173,0.245,-0.442,-0.332,-1.563,-81.691,HJRES37,Agreed to,,On Agreeing to the Amendment,
116,House,81,2019-02-13,1,82,424,0,0.0,0.0,0.0,0.0,0.0,HJRES37,Passed,Directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress,On Motion to Recommit with Instructions,
116,House,82,2019-02-13,1,83,248,177,-0.238,0.971,0.47,1.181,-53.038,HJRES37,Passed,Directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress,On Passage,
116,House,83,2019-02-13,1,84,418,0,0.0,0.0,0.0,0.0,0.0,HR995,Passed,Settlement Agreement Information Database Act,"On Motion to Suspend the Rules and Pass, as Amended",
116,House,84,2019-02-14,1,85,229,195,0.066,0.049,0.713,-0.107,-0.487,HRES131,Passed,"Providing for consideration of the conference report to accompany H.J. Res. 31, making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes; providing for proceedings during the period from February 15, 2019 through February 22, 2019",On Ordering the Previous Question,
116,House,85,2019-02-14,1,86,230,196,0.066,0.05,0.713,-0.107,-0.487,HRES131,Passed,"Providing for consideration of the conference report to accompany H.J. Res. 31, making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes; providing for proceedings during the period from February 15, 2019 through February 22, 2019",On Agreeing to the Resolution,
116,House,86,2019-02-14,1,87,300,128,0.626,0.78,0.212,-0.282,-145.314,HJRES31,Passed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Agreeing to the Conference Report,
116,Senate,1,2019-01-08,1,1,56,44,-0.225,0.503,-0.244,-0.412,-13.822,S1,Cloture on the Motion to Proceed Rejected,,,
116,Senate,2,2019-01-10,1,2,53,43,0.111,-0.87,-0.53,-0.814,-8.114,S1,Cloture on the Motion to Proceed Rejected,,,
116,Senate,3,2019-01-14,1,3,50,43,-0.387,0.922,-0.526,-1.064,-8.954,S1,Cloture on the Motion to Proceed Rejected,,,
116,Senate,4,2019-01-15,1,4,42,57,-0.042,0.999,-0.188,-0.301,-26.759,SJRES2,Motion to Table Failed,,,
116,Senate,5,2019-01-15,1,5,57,42,-0.015,1.0,0.188,0.276,-26.797,SJRES2,Motion to Proceed Agreed to,,,
116,Senate,6,2019-01-16,1,6,57,42,-0.04,0.999,0.188,0.3,-26.763,SJRES2,Cloture Motion Rejected,,,
